NOP :          A: 6F X: 00 Y: 00 PC: C7F3 S: FB Cycle: 235 
LDA : 40       A: 6F X: 00 Y: 00 PC: C7F4 S: FB Cycle: 241 
STA : 01       A: 40 X: 00 Y: 00 PC: C7F6 S: FB Cycle: 247 
BIT : 01       A: 40 X: 00 Y: 00 PC: C7F8 S: FB Cycle: 256 
CLD :          A: 40 X: 00 Y: 00 PC: C7FA S: FB Cycle: 265 
LDA : 10       A: 40 X: 00 Y: 00 PC: C7FB S: FB Cycle: 271 
CLC :          A: 10 X: 00 Y: 00 PC: C7FD S: FB Cycle: 277 
PHP :          A: 10 X: 00 Y: 00 PC: C7FE S: FB Cycle: 283 
PLA :          A: 10 X: 00 Y: 00 PC: C7FF S: FA Cycle: 292 
AND : EF       A: 74 X: 00 Y: 00 PC: C800 S: FB Cycle: 304 
CMP : 64       A: 64 X: 00 Y: 00 PC: C802 S: FB Cycle: 310 
BEQ : 04       A: 64 X: 00 Y: 00 PC: C804 S: FB Cycle: 316 
NOP :          A: 64 X: 00 Y: 00 PC: C80A S: FB Cycle: 325 
LDA : 80       A: 64 X: 00 Y: 00 PC: C80B S: FB Cycle: 331 
STA : 01       A: 80 X: 00 Y: 00 PC: C80D S: FB Cycle: 337 
BIT : 01       A: 80 X: 00 Y: 00 PC: C80F S: FB Cycle: 5 
SED :          A: 80 X: 00 Y: 00 PC: C811 S: FB Cycle: 14 
LDA : 00       A: 80 X: 00 Y: 00 PC: C812 S: FB Cycle: 20 
SEC :          A: 00 X: 00 Y: 00 PC: C814 S: FB Cycle: 26 
PHP :          A: 00 X: 00 Y: 00 PC: C815 S: FB Cycle: 32 
PLA :          A: 00 X: 00 Y: 00 PC: C816 S: FA Cycle: 41 
AND : EF       A: 3F X: 00 Y: 00 PC: C817 S: FB Cycle: 53 
CMP : 2F       A: 2F X: 00 Y: 00 PC: C819 S: FB Cycle: 59 
BEQ : 04       A: 2F X: 00 Y: 00 PC: C81B S: FB Cycle: 65 
NOP :          A: 2F X: 00 Y: 00 PC: C821 S: FB Cycle: 74 
LDA : FF       A: 2F X: 00 Y: 00 PC: C822 S: FB Cycle: 80 
PHA :          A: FF X: 00 Y: 00 PC: C824 S: FB Cycle: 86 
PLP :          A: FF X: 00 Y: 00 PC: C825 S: FA Cycle: 95 
BNE : 09       A: FF X: 00 Y: 00 PC: C826 S: FB Cycle: 107 
BPL : 07       A: FF X: 00 Y: 00 PC: C828 S: FB Cycle: 113 
BVC : 05       A: FF X: 00 Y: 00 PC: C82A S: FB Cycle: 119 
BCC : 03       A: FF X: 00 Y: 00 PC: C82C S: FB Cycle: 125 
JMP : 35 C8    A: FF X: 00 Y: 00 PC: C82E S: FB Cycle: 131 
NOP :          A: FF X: 00 Y: 00 PC: C835 S: FB Cycle: 140 
LDA : 04       A: FF X: 00 Y: 00 PC: C836 S: FB Cycle: 146 
PHA :          A: 04 X: 00 Y: 00 PC: C838 S: FB Cycle: 152 
PLP :          A: 04 X: 00 Y: 00 PC: C839 S: FA Cycle: 161 
BEQ : 09       A: 04 X: 00 Y: 00 PC: C83A S: FB Cycle: 173 
BMI : 07       A: 04 X: 00 Y: 00 PC: C83C S: FB Cycle: 179 
BVS : 05       A: 04 X: 00 Y: 00 PC: C83E S: FB Cycle: 185 
BCS : 03       A: 04 X: 00 Y: 00 PC: C840 S: FB Cycle: 191 
JMP : 49 C8    A: 04 X: 00 Y: 00 PC: C842 S: FB Cycle: 197 
NOP :          A: 04 X: 00 Y: 00 PC: C849 S: FB Cycle: 206 
SED :          A: 04 X: 00 Y: 00 PC: C84A S: FB Cycle: 212 
